player,transfermarkt_id,transfermarkt_name,tm_market_value
Ayyoub Bouaddi,1097139,Ayyoub Bouaddi,50000000.0
Chemsdine Talbi,743384,Chemsdine Talbi,25000000.0
Soufiane Rahimi,598506,Soufiane Rahimi,6000000.0
Brahim Diaz,314678,Brahim Díaz,35000000.0
Ismael Saibari,702869,Ismael Saibari,40000000.0
Zakaria El Ouahdi,820474,Zakaria El Ouahdi,17000000.0
Issa Laye Lucas Jean Diop,272622,Issa Diop,8000000.0
Samir El Mourabet,1130514,Samir El Mourabet,22000000.0
Gessime Ben Youssef Mustapha Yassine,1151929,Gessime Yassine,12000000.0
Chadi Riad,689637,Chadi Riad,15000000.0
Ahmed Reda Tagnaouti,238997,Ahmed Reda Tagnaouti,1000000.0
Bilal El Khannouss,654982,Bilal El Khannouss,35000000.0
Neil Yoni El Aynaoui,901019,Neil El Aynaoui,23000000.0
Redouane Halhal,913660,Redouane Halhal,5000000.0
Johny Placide,51035,Johny Placide,150000.0
Carlens Jean Fedlaire Ruby Arcus,371686,Carlens Arcus,1800000.0
Keeto Thermoncy,1061046,Keeto Thermoncy,100000.0
Ricardo Ade,278145,Ricardo Adé,300000.0
Hannes Piterson Delcroix,338635,Hannes Delcroix,2000000.0
Carl Fred Sainte,718244,Carl Sainté,125000.0
Derrick Burckley Etienne,354763,Derrick Etienne Jr.,800000.0
Duckens Nazon,345763,Duckens Nazon,800000.0
Markhus Lacroix,375472,Duke Lacroix,125000.0
Garven-Michee Metusala,859175,Garven Metusala,200000.0
Ruben Fritzner Providence,536520,Ruben Providence,300000.0
Lenny Alvin Pico Joseph,815359,Lenny Joseph,2000000.0
Danley Jean Jacques,628834,Danley Jean Jacques,3000000.0
Wilson Isidor,494237,Wilson Isidor,18000000.0
Yassin Enzo Fortune,342878,Yassin Fortuné,300000.0
Frantzdy Pierrot,492955,Frantzdy Pierrot,1500000.0
Jean-Kévin Duverne,344864,Jean-Kévin Duverne,2000000.0
Josue Duverger,490369,Josué Duverger,
Wilguens Raphael Polynice Paugain,609691,Wilguens Paugain,800000.0
Dominique Celidor Simon,988188,Dominique Simon,200000.0
Olivier Woodensky Pierre,1017735,Woodensky Pierre,100000.0
Angus Fraser James Gunn,201574,Angus Gunn,1000000.0
Aaron Buchanan Hickey,591949,Aaron Hickey,16000000.0
Andrew Henry Robertson,234803,Andrew Robertson,7000000.0
Mc,645014,Malsawmzuala,
Grant Campbell Hanley,121385,Grant Hanley,200000.0
Kieran Tierney,300716,Kieran Tierney,8000000.0
Tyler Robert Fletcher,1049911,Tyler Fletcher,1500000.0
Lyndon John Dykes,347138,Lyndon Dykes,800000.0
Ryan Christie,188077,Ryan Christie,8000000.0
Liam Patrick Kelly,208772,Liam Kelly,800000.0
Jack William Hendry,363223,Jack Hendry,2500000.0
Ross Cameron Stewart,447995,Ross Stewart,2500000.0
Dominic John Hyam,263268,Dominic Hyam,2000000.0
George David Eric Hirst,420808,George Hirst,10000000.0
Lewis Ferguson,428563,Lewis Ferguson,14000000.0
Lawrence Shankland,225744,Lawrence Shankland,3000000.0
Anthony Ralston,388171,Anthony Ralston,1500000.0
Findlay Kenneth Curtis,1082993,Findlay Curtis,2000000.0
Matthew Charles Turner,425306,Matt Turner,2500000.0
Sergiño Gianni Dest,361104,Sergiño Dest,18000000.0
Christopher Jeffrey Richards,578539,Chris Richards,28000000.0
Tyler Shaan Adams,332705,Tyler Adams,25000000.0
Antonee Robinson,349701,Antonee Robinson,22000000.0
Auston Levi-Jesaiah Trusty,389253,Auston Trusty,6000000.0
Ricardo Daniel Pepi,627207,Ricardo Pepi,30000000.0
Christian Mate Pulisic,315779,Christian Pulisic,40000000.0
Brenden Russell Aaronson,393323,Brenden Aaronson,22000000.0
Miles Gordon Robinson,468022,Miles Robinson,3500000.0
Timothy Michael Ream,145466,Tim Ream,150000.0
Sebastian Matthew Berhalter,734761,Sebastian Berhalter,8000000.0
Cristian Roldan,354792,Cristian Roldán,3500000.0
Alexander Michael Freeman,985806,Alex Freeman,3500000.0
Malik Leon Tillman,467437,Malik Tillman,30000000.0
Maximilian Michael Arfsten,993063,Max Arfsten,5000000.0
Haji Amir Wright,315291,Haji Wright,16000000.0
Timothy Tarpeh Weah,370846,Timothy Weah,20000000.0
Joseph Michael Scally,504153,Joe Scally,7000000.0
Matthew Andrew Geary Freese,500309,Matt Freese,2000000.0
Christopher Keith Brady,765504,Chris Brady,2500000.0
Alejandro Zendejas,351505,Álex Zendejas,10000000.0
Roberto Junior Fernandez,107318,Roberto Fernández,100000.0
Victor Gustavo Velazquez,389399,Gustavo Velázquez,400000.0
Omar Federico Alderete,353032,Omar Alderete,13000000.0
Juan Jose Caceres,756494,Juan José Cáceres,5000000.0
Fabián Cornelio Balbuena,285548,Fabián Balbuena,900000.0
Júnior Osmar Ignacio Alonso,273000,Júnior Alonso,1500000.0
Ramón Sosa,745191,Ramón Sosa,10000000.0
Diego Alexander Gomez,996897,Diego Gómez,25000000.0
Arnaldo Antonio Sanabria,234523,Antonio Sanabria,1800000.0
Miguel Angel Almiron,272999,Miguel Almirón,7000000.0
Mauricio Mauricio,1475249,Mauricio Mauricio,
Orlando Daniel Gill,643259,Orlando Gill,6000000.0
Jose Maria Canale,402627,José Canale,2200000.0
Adrián Andrés Cubas,323872,Andrés Cubas,4500000.0
Gustavo Raul Gomez,215390,Gustavo Gómez,3500000.0
Damián Josue Bobadilla,861852,Damián Bobadilla,6000000.0
Alejandro Sebastian Romero Gamarra,355817,Kaku,4500000.0
Alex Adrian Arce,970518,Álex Arce,3500000.0
Julio Cesar Enciso,660867,Julio Enciso,25000000.0
Braian Oscar Ojeda,491596,Braian Ojeda,3500000.0
Gabriel Avalos,358418,Gabriel Ávalos,750000.0
Gastón Hernán Olveira,301722,Gastón Olveira,500000.0
Matias Galarza,909737,Matías Galarza,5500000.0
