feature,catboost,lightgbm,xgboost,mean,catboost_shap
away_matches_prev_30d,0.003908247584888464,0.0016063094034691413,0.005319626307969337,0.003611394432108981,0.004377010602755933
draws_diff_10,0.005295871767713491,0.0017359033278626632,0.003792835510324477,0.00360820353530021,0.0034705898039279104
matches_prev_90d_diff,0.0053421256600006285,0.0015312027688573404,0.0038589838769745493,0.003577437435277506,0.002557565196289178
away_away_played_5,0.00344841172453136,0.0018015664882350024,0.005481778260646678,0.003577252157804347,0.006439535219755328
win_pct_diff_10,0.0036054268046417323,0.0018456725773193087,0.005106279204855593,0.0035191261956055444,0.00414159429769192
away_neutral_played_3,0.0032187566567135496,0.0014726903421865092,0.005753225326112739,0.003481557441670932,0.005291325191670422
away_clean_sheets_10,0.003988440030799326,0.0012890624251961156,0.00505028892184073,0.0034425971259453903,0.005622978186619664
away_form_diff,0.004143973022418385,0.0014481679024244255,0.00418194480710169,0.003258028577314833,0.0027346779020379183
home_goals_conceded_10,0.00331215107154134,0.0008974774442950166,0.005529016084227836,0.003246214866688064,0.004303669845120647
ppg_diff_5,0.0033501559871314565,0.0016815835724476415,0.004681840361690725,0.0032378599737566075,0.0028167012301618484
home_avg_goal_diff_3,0.0031235319591668463,0.0005781080696736391,0.0059704129107731475,0.003224017646537878,0.002380017174881056
venue_form_diff,0.004168417365520408,0.001706874715885078,0.0036950183359438335,0.003190103472449773,0.0036623765943697866
away_goal_diff_10,0.0025525708875231753,0.0018781811162642272,0.005101514899550034,0.003177422301112479,0.005068096613214628
away_losses_10,0.005178609512992854,0.0011554201081278733,0.0030856889458380217,0.00313990618898625,0.003637974105666089
away_goals_conceded_10,0.0021270942951428155,0.002145614510523055,0.0049960652404487695,0.00308959134870488,0.002237450332954624
home_neutral_played_10,0.0034071941685230606,0.0014103914840395326,0.004395469912855737,0.0030710185218061105,0.0033538949130588695
home_win_pct_10,0.002023233366340978,0.0008639861239644007,0.006193011179041893,0.0030267435564490905,0.0012870292680264722
away_away_played_3,0.003370275516897722,0.0009757342447650511,0.0047309521851358624,0.003025653982266212,0.004771657484075611
away_neutral_played_10,0.0040852375664719946,0.001051192213147724,0.003926360113792862,0.00302092996447086,0.0049553571982279615
away_goals_scored_5,0.0032180934595761384,0.0012117685711572402,0.004505680396764007,0.0029785141424991286,0.003137646987113574
away_goal_diff_5,0.0016809534059304637,0.0014091371918049092,0.0056689027904448415,0.0029196644627267378,0.00186889865201419
home_goal_diff_5,0.003279708477988144,0.001626213876887637,0.0038044723086308125,0.002903464887835531,0.0035746526833912062
away_ppg_3,0.0024544728795983916,0.0006891928254220426,0.005516418171106676,0.0028866946253757035,0.004177465670054596
away_home_played_3,0.003322506963352327,0.0006509013149300659,0.00467045167320984,0.002881286650497411,0.0031932830608408956
home_home_played_3,0.0021795864550480334,0.0008412477816207469,0.0054982474825874044,0.0028396939064187277,0.0022566041624237938
away_win_pct_10,0.0022784613611698612,0.00047074739405437326,0.005719625587506136,0.0028229447809101234,0.0015960341915276226
home_ppg_5,0.0027954841069437724,0.001018013811282345,0.004642663372759298,0.0028187204303284723,0.0031975051085157895
home_goals_scored_5,0.0027562665914260386,0.001274488736545342,0.004377315135186995,0.0028026901543861255,0.0024392900976678844
home_matches_prev_90d,0.002814686185350501,0.0009361187797750255,0.00460997651920185,0.0027869271614424586,0.0018208571447443933
home_draws_5,0.002412288544766946,0.0007017651445933313,0.005218164802996218,0.0027774061641188314,0.0021038627653312356
